id, items_id, itemtype, devicememories_id, size, BusID
677,1072,Computer,1,2048,1
678,1073,Computer,1,2048,1
679,1074,Computer,1,2048,1
680,1075,Computer,1,2048,1
681,1076,Computer,1,2048,1
682,1077,Computer,1,2048,1
683,1078,Computer,1,2048,1
684,1079,Computer,1,2048,1
685,1080,Computer,1,2048,1
686,1081,Computer,1,2048,1
687,1083,Computer,1,2048,1
688,1085,Computer,1,2048,1
689,1087,Computer,1,2048,1
690,1088,Computer,10,512,1
691,1088,Computer,18,512,2
692,1088,Computer,3,1,3
693,1089,Computer,1,2048,1
694,1090,Computer,1,2048,1
695,1091,Computer,1,2048,1
696,1093,Computer,10,1024,1
697,1093,Computer,11,1024,2
698,1093,Computer,3,4,3
